Date,Account,Category,Subcategory,Note,MYR,Income/Expense,Note2,Amount,Currency,Account3
05/07/2023 13:11:09,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
05/07/2023 13:11:13,Dompet,Food & Drink,Lunch,,2,Expense,,2,MYR,2
05/08/2023 12:38:00,Public Bank,Game,Star Rail,,39.9,Expense,,39.9,MYR,39.9
05/08/2023 18:37:46,Dompet,Food & Drink,Barang Dapur,,20.3,Expense,,20.3,MYR,20.3
05/08/2023 19:20:12,Dompet,Food & Drink,Dinner,,14,Expense,,14,MYR,14
05/09/2022 11:42:24,Public Bank,Transportation,GrabCar,GRAB,25,Expense,,25,MYR,25
05/09/2022 11:42:42,Public Bank,Credit Topup,Digi,MAK,10,Expense,,10,MYR,10
05/09/2022 11:42:56,Dompet,Other,,TOPUP MAK,10,Income,,10,MYR,10
05/09/2022 13:22:50,Public Bank,Food & Drink,,,26,Expense,,26,MYR,26
05/09/2022 18:08:51,Dompet,Allowance,,,30,Income,,30,MYR,30
05/09/2022 19:14:02,Public Bank,Game,Honkai,Monthly Pass,19.9,Expense,,19.9,MYR,19.9
05/12/2022 16:50:38,Bank Islam,Allowance,,,300,Income,,300,MYR,300
05/12/2022 17:32:05,Bank Islam,Credit Topup,Digi,,117.27,Expense,,117.27,MYR,117.27
05/12/2022 18:11:06,Dompet,Other,,,8,Expense,,8,MYR,8
06/01/2023 09:03:19,Public Bank,Game,Arknight,,21.99,Expense,,21.99,MYR,21.99
06/01/2023 13:13:23,Dompet,Food & Drink,Lunch,,10,Expense,,10,MYR,10
06/01/2023 17:50:47,Dompet,Food & Drink,Barang Dapur,,8.8,Expense,,8.8,MYR,8.8
06/01/2023 17:54:27,Dompet,Food & Drink,Dinner,,5.5,Expense,,5.5,MYR,5.5
06/01/2023 17:55:55,Dompet,Food & Drink,Dinner,,4,Expense,,4,MYR,4
06/02/2023 10:16:06,Dompet,Health,Medicine,,50,Expense,,50,MYR,50
06/02/2023 18:17:21,Dompet,Food & Drink,Lunch,,10,Expense,,10,MYR,10
06/02/2023 18:17:58,Dompet,Food & Drink,Barang Dapur,,8,Expense,,8,MYR,8
06/02/2023 18:23:03,Dompet,Food & Drink,Dinner,,6.5,Expense,,6.5,MYR,6.5
06/02/2023 18:32:46,Dompet,Food & Drink,Dinner,,2.8,Expense,,2.8,MYR,2.8
06/03/2023 13:06:08,Public Bank,Food & Drink,Lunch,,26.57,Expense,,26.57,MYR,26.57
06/03/2023 21:00:21,Bank Islam,Dompet,,,50,Transfer-Out,,50,MYR,50
06/03/2023 21:00:29,Dompet,Transportation,GrabCar,,14,Expense,,14,MYR,14
06/04/2023 07:08:11,Dompet,Transportation,Bus,,4,Expense,,4,MYR,4
06/05/2023 10:53:15,Public Bank,Game,Star Rail,,39.9,Expense,,39.9,MYR,39.9
06/05/2023 14:16:44,Dompet,Apparel,,,13,Expense,,13,MYR,13
06/05/2023 14:56:47,Public Bank,Other,,,35.5,Expense,,35.5,MYR,35.5
06/05/2023 17:58:37,Dompet,Food & Drink,Dinner,,22.5,Expense,,22.5,MYR,22.5
06/05/2023 18:17:58,Dompet,Food & Drink,Barang Dapur,,4.6,Expense,,4.6,MYR,4.6
06/05/2023 18:21:21,Bank Islam,Dompet,,,100,Transfer-Out,,100,MYR,100
06/05/2023 19:44:14,Dompet,Transportation,Kereta,,5,Expense,,5,MYR,5
06/05/2023 19:44:14,Public Bank,Game,Star Rail,,4.9,Expense,,4.9,MYR,4.9
06/06/2023 16:45:11,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
06/07/2023 12:27:25,Dompet,Transportation,Bus,,2,Expense,,2,MYR,2
06/08/2022 17:23:29,Dompet,Allowance,,Mak bayar balik topup,10,Income,,10,MYR,10
06/08/2022 17:24:17,Dompet,Food & Drink,,Sayap Ayam,7,Expense,,7,MYR,7
06/08/2023 07:25:09,Dompet,Food & Drink,Breakfast,,11.55,Expense,,11.55,MYR,11.55
06/08/2023 09:04:58,Dompet,Food & Drink,Barang Dapur,,6.5,Expense,,6.5,MYR,6.5
06/08/2023 09:07:40,Bank Islam,Allowance,,,5,Income,,5,MYR,5
06/08/2023 15:19:35,Dompet,Health,Toiletries,,31.55,Expense,,31.55,MYR,31.55
06/08/2023 16:54:36,Dompet,Health,Toiletries,,9.3,Expense,,9.3,MYR,9.3
06/09/2022 13:26:58,Bank Islam,Allowance,,,200,Income,,200,MYR,200
06/09/2022 19:55:22,Dompet,Allowance,,KELAS MANDARIN,50,Income,,50,MYR,50
06/11/2022 14:55:42,Public Bank,Food & Drink,Lunch,,53.1,Expense,,53.1,MYR,53.1
06/11/2022 15:35:29,Public Bank,Health,Gym,,14.9,Expense,,14.9,MYR,14.9
06/11/2022 17:26:11,Bank Islam,Apparel,,,119,Expense,,119,MYR,119
06/12/2022 18:17:29,Dompet,Food & Drink,Dinner,,12.5,Expense,,12.5,MYR,12.5
06/12/2022 20:38:41,Public Bank,Game,Azurlane,,33.98,Expense,,33.98,MYR,33.98
07/01/2023 07:42:28,Public Bank,Allowance,,,100,Income,,100,MYR,100
07/01/2023 13:02:45,Dompet,Food & Drink,Lunch,,8,Expense,,8,MYR,8
07/01/2023 18:15:08,Dompet,Food & Drink,Dinner,,6,Expense,,6,MYR,6
07/02/2023 11:35:11,Bank Islam,Dompet,,,100,Transfer-Out,,100,MYR,100
07/02/2023 11:58:02,Dompet,Food & Drink,Lunch,,5.5,Expense,,5.5,MYR,5.5
07/02/2023 12:08:06,Dompet,Food & Drink,Lunch,,4,Expense,,4,MYR,4
07/02/2023 12:08:11,Dompet,Food & Drink,Drink,,6,Expense,,6,MYR,6
07/02/2023 18:10:08,Dompet,Food & Drink,Dinner,,5.5,Expense,,5.5,MYR,5.5
